title,url,date
Looking back at 2024’s Twin Cities metro news highlights,https://www.minnpost.com/metro/2024/12/looking-back-at-2024s-twin-cities-metro-news-highlights/,2024-12-24
St. Paul’s 2025 budget draws attention — and tension — over police overtime,https://www.minnpost.com/metro/2024/12/st-pauls-2025-budget-draws-attention-and-tension-over-police-overtime/,2024-12-19
"Election year politics, ongoing council-mayoral divide color Minneapolis budget debate",https://www.minnpost.com/metro/2024/12/election-year-politics-ongoing-council-mayoral-divide-color-minneapolis-budget-debate/,2024-12-13
"With parts of the line completed, why can’t Southwest light rail trains roll?",https://www.minnpost.com/metro/2024/12/with-parts-of-the-line-completed-why-cant-southwest-light-rail-trains-roll/,2024-12-10
"Minneapolis City Council changes course on Labor Standards Board, sustaining Frey’s veto",https://www.minnpost.com/metro/2024/12/minneapolis-city-council-changes-course-on-labor-standards-board-sustaining-freys-veto/,2024-12-06
There’s little momentum for turnstiles at Blue and Green Line light-rail stations,https://www.minnpost.com/metro/2024/12/theres-little-momentum-for-turnstiles-at-blue-and-green-line-light-rail-stations/,2024-12-06
Renovated business center will be an asset for both Minneapolis College and Metro State,https://www.minnpost.com/education/2024/12/renovated-business-center-will-be-an-asset-for-both-minneapolis-college-and-metro-state/,2024-12-02
‘Bus bunching’ prevention: Metro Transit hopes D Line schedule changes will make it more reliable and less crowded,https://www.minnpost.com/metro/2024/11/bus-bunching-prevention-metro-transit-hopes-d-line-schedule-changes-will-make-it-more-reliable-and-less-crowded/,2024-11-25
"A ride-along in ‘Thrivey,’ part of Twin Cities harm reduction efforts serving those experiencing homelessness",https://www.minnpost.com/race-health-equity/2024/11/a-ride-along-in-thrivey-van-part-of-twin-cities-harm-reduction-efforts-serving-those-experiencing-homelessness/,2024-11-22
"With change underway in Minneapolis, here’s a look at how St. Paul handles labor standards",https://www.minnpost.com/metro/2024/11/with-change-underway-in-minneapolis-heres-a-look-at-how-st-paul-handles-labor-standards/,2024-11-21
Universities prepare students for life and work in an AI world,https://www.minnpost.com/education/2024/11/universities-prepare-students-for-life-and-work-in-an-ai-world/,2024-11-21
Everything you need to know about the Minneapolis Labor Standards Board,https://www.minnpost.com/metro/2024/11/everything-you-need-to-know-about-the-proposed-minneapolis-labor-standards-board/,2024-11-13
St. Paul voters cast ranked-choice elections into murky waters,https://www.minnpost.com/elections/2024/11/st-paul-voters-cast-ranked-choice-elections-into-murky-waters/,2024-11-08
A look at local referendum results: A split result in St. Paul and a boost for some Minnesota schools,https://www.minnpost.com/elections/2024/11/a-look-at-local-referendum-results-a-split-result-in-st-paul-and-a-boost-for-some-minnesota-schools/,2024-11-07
Can the Roy app fix the Gophers?,https://www.minnpost.com/twin-cities-business/2024/10/can-the-roy-app-fix-the-gophers/,2024-10-28
"Why Frey, Carter shrugged at councils’ recent overridden vetoes",https://www.minnpost.com/metro/2024/10/why-frey-carter-shrugged-at-recent-city-council-overridden-vetoes-in-minneapolis-and-st-paul/,2024-10-28
Food entrepreneurs look forward to new north Minneapolis commercial kitchen,https://www.minnpost.com/business/2024/10/food-entrepreneurs-look-forward-to-new-north-minneapolis-commercial-kitchen/,2024-10-25
Third Precinct razor wire will come down soon. Why did it take this long?,https://www.minnpost.com/public-safety/2024/10/third-precinct-razor-wire-will-come-down-soon-why-did-it-take-this-long/,2024-10-24
Why is most of the North Loop excluded from the special Minneapolis downtown sales tax district?,https://www.minnpost.com/metro/2024/10/why-is-most-of-the-north-loop-excluded-from-the-special-minneapolis-downtown-sales-tax-district/,2024-10-18
Minnesota cities tap utility fees to help fund local clean energy and climate action,https://www.minnpost.com/other-nonprofit-media/2024/10/minnesota-cities-tap-utility-fees-to-help-fund-local-clean-energy-and-climate-action/,2024-10-18
Seeing some red in Minneapolis’ sea of blue,https://www.minnpost.com/elections/2024/10/seeing-some-red-in-minneapolis-sea-of-blue/,2024-10-17
What would it take to rescue downtown St. Paul’s economy?,https://www.minnpost.com/twin-cities-business/2024/10/what-would-it-take-to-rescue-downtown-st-pauls-economy/,2024-10-17
"Three years after Daunte Wright was killed by police, what’s changed in Brooklyn Center?",https://www.minnpost.com/public-safety/2024/10/three-years-after-daunte-wright-was-killed-by-police-whats-changed-in-brooklyn-center/,2024-10-14
Whose job is it to address homelessness in Minneapolis?,https://www.minnpost.com/metro/2024/10/whose-job-is-it-to-address-homelessness-in-minneapolis/,2024-10-04
Minneapolis Climate Action takes equitable approach to combating climate change,https://www.minnpost.com/metro/2024/10/minneapolis-climate-action-takes-equitable-approach-to-combating-climate-change/,2024-10-02
Bubbles as a violence de-escalation tactic? The Minneapolis mayor loves the idea.,https://www.minnpost.com/metro/2024/10/bubbles-as-a-violence-de-escalation-tactic-the-minneapolis-mayor-loves-the-idea/,2024-10-01
Nick Halter from Axios talks with Minneapolis Mayor Jacob Frey at MinnPost Festival,https://www.minnpost.com/metro/2024/09/nick-halter-from-axios-talks-with-minneapolis-mayor-jacob-frey-at-minnpost-festival/,2024-09-30
"Mayor, staff at odds with Minneapolis City Council over bailout plan for downtown shelter",https://www.minnpost.com/metro/2024/09/mayor-staff-at-odds-with-minneapolis-city-council-over-bailout-plan-for-downtown-shelter/,2024-09-27
"As a Minneapolis homeless shelter hangs by a thread, will the city step in to help?",https://www.minnpost.com/metro/2024/09/as-a-minneapolis-homeless-shelter-hangs-by-a-thread-will-the-city-step-in-to-help/,2024-09-25
Why is there a fence blocking a Minneapolis sidewalk under 35W on 31st Street?,https://www.minnpost.com/public-safety/2024/09/why-is-there-a-fence-blocking-a-minneapolis-sidewalk-under-35w-on-31st-street/,2024-09-12
"Community group in Minneapolis seeks $2 million to continue work of police oversight, mediation",https://www.minnpost.com/public-safety/2024/09/community-group-in-minneapolis-seeks-2-million-to-continue-work-of-police-oversight-mediation/,2024-09-09
Changes in Twin Cities commute patterns foster changes in Metro Transit’s bus network,https://www.minnpost.com/metro/2024/09/changes-in-twin-cities-commute-patterns-foster-changes-in-metro-transits-bus-network/,2024-09-04
Displace or Deliver? Northsiders weigh in on whether light rail can fulfill all it promises,https://www.minnpost.com/other-nonprofit-media/2024/09/displace-or-deliver-northsiders-weigh-in-on-whether-light-rail-can-fulfill-all-it-promises/,2024-09-04
Independent St. Paul landlords call city’s evolving rent control ordinance ‘worst of both worlds’,https://www.minnpost.com/metro/2024/08/independent-st-paul-landlords-call-citys-evolving-rent-control-ordinance-worst-of-both-worlds/,2024-08-29
Just $20 a day: Metro courts look at increasing jury pay to address racial disparities,https://www.minnpost.com/public-safety/2024/08/just-20-a-day-metro-courts-look-at-increasing-jury-pay-to-address-racial-disparities/,2024-08-26
"‘Outside agitator’ narrative by Walz, community leaders was wrong but helped quell 2020 George Floyd protests",https://www.minnpost.com/metro/2024/08/outside-agitator-narrative-by-walz-community-leaders-was-wrong-but-helped-quell-2020-george-floyd-protests/,2024-08-26
"ShotSpotter to stay put in Minneapolis as officials negotiate extension, expansion",https://www.minnpost.com/public-safety/2024/08/shotspotter-to-stay-put-in-minneapolis-as-officials-negotiate-extension-expansion/,2024-08-21
St. Paul affordable housing development built to be a large net-zero community,https://www.minnpost.com/other-nonprofit-media/2024/08/st-paul-affordable-housing-development-built-to-be-a-large-net-zero-community/,2024-08-21
Met Council to cities: ‘Is this how you want the Blue Line Extension built?’,https://www.minnpost.com/metro/2024/08/met-council-to-cities-is-this-how-you-want-the-blue-line-extension-built/,2024-08-20
How does the Minneapolis Police Department overcome language barriers?,https://www.minnpost.com/public-safety/2024/08/how-does-the-minneapolis-police-department-overcome-language-barriers/,2024-08-19
"How public safety attitudes, different campaigning changed the Omar-Samuels standoff",https://www.minnpost.com/elections/2024/08/how-public-safety-attitudes-different-campaigning-changed-the-omar-samuels-standoff/,2024-08-15
Data shows glaring ethnic disparities in jury make-ups in the metro counties,https://www.minnpost.com/metro/2024/08/data-shows-glaring-ethnic-disparities-in-jury-make-ups-in-the-metro-counties/,2024-08-13
